SIG_CD,SIG_ENG_NM,SIG_KOR_NM,merged
29200,Gwangsan-gu,광산구,29200
27110,Jung-gu,중구,27110
27140,Dong-gu,동구,27140
27170,Seo-gu,서구,27170
27200,Nam-gu,남구,27200
27230,Buk-gu,북구,27230
27260,Suseong-gu,수성구,27260
27290,Dalseo-gu,달서구,27290
27710,Dalseong-gun,달성군,27710
30110,Dong-gu,동구,30110
30140,Jung-gu,중구,30140
30170,Seo-gu,서구,30170
30200,Yuseong-gu,유성구,30200
30230,Daedeok-gu,대덕구,30230
26110,Jung-gu,중구,26110
26140,Seo-gu,서구,26140
26170,Dong-gu,동구,26170
26200,Yeongdo-gu,영도구,26200
26230,Busanjin-gu,부산진구,26230
26260,Dongnae-gu,동래구,26260
26290,Nam-gu,남구,26290
26320,Buk-gu,북구,26320
26350,Haeundae-gu,해운대구,26350
26380,Saha-gu,사하구,26380
26410,Geumjeong-gu,금정구,26410
26440,Gangseo-gu,강서구,26440
26470,Yeonje-gu,연제구,26470
26500,Suyeong-gu,수영구,26500
26530,Sasang-gu,사상구,26530
26710,Gijang-gun,기장군,26710
11110,Jongno-gu,종로구,11110
11140,Jung-gu,중구,11140
11170,Yongsan-gu,용산구,11170
11200,Seongdong-gu,성동구,11200
11215,Gwangjin-gu,광진구,11215
11230,Dongdaemun-gu,동대문구,11230
11260,Jungnang-gu,중랑구,11260
11290,Seongbuk-gu,성북구,11290
11305,Gangbuk-gu,강북구,11305
11320,Dobong-gu,도봉구,11320
11350,Nowon-gu,노원구,11350
11380,Eunpyeong-gu,은평구,11380
11410,Seodaemun-gu,서대문구,11410
11440,Mapo-gu,마포구,11440
11470,Yangcheon-gu,양천구,11470
11500,Gangseo-gu,강서구,11500
11530,Guro-gu,구로구,11530
11545,Geumcheon-gu,금천구,11545
11560,Yeongdeungpo-gu,영등포구,11560
11590,Dongjak-gu,동작구,11590
11620,Gwanak-gu,관악구,11620
11650,Seocho-gu,서초구,11650
11680,Gangnam-gu,강남구,11680
11710,Songpa-gu,송파구,11710
11740,Gangdong-gu,강동구,11740
36110,Sejong-si,세종특별자치시,36110
31110,Jung-gu,중구,31110
31140,Nam-gu,남구,31140
31170,Dong-gu,동구,31170
31200,Buk-gu,북구,31200
31710,Ulju-gun,울주군,31710
28110,Jung-gu,중구,28110
28140,Dong-gu,동구,28140
28177,Michuhol-gu,미추홀구,28177
28185,Yeonsu-gu,연수구,28185
28200,Namdong-gu,남동구,28200
28237,Bupyeong-gu,부평구,28237
28245,Gyeyang-gu,계양구,28245
28260,Seo-gu,서구,28260
28710,Ganghwa-gun,강화군,28710
28720,Ongjin-gun,옹진군,28720
46110,Mokpo-si,목포시,46110
46130,Yeosu-si,여수시,46130
46150,Suncheon-si,순천시,46150
46170,Naju-si,나주시,46170
46230,Gwangyang-si,광양시,46230
46710,Damyang-gun,담양군,46710
46720,Gokseong-gun,곡성군,46720
46730,Gurye-gun,구례군,46730
46770,Goheung-gun,고흥군,46770
46780,Boseong-gun,보성군,46780
46790,Hwasun-gun,화순군,46790
46800,Jangheung-gun,장흥군,46800
46810,Gangjin-gun,강진군,46810
46820,Haenam-gun,해남군,46820
46830,Yeongam-gun,영암군,46830
46840,Muan-gun,무안군,46840
46860,Hampyeong-gun,함평군,46860
46870,Yeonggwang-gun,영광군,46870
46880,Jangseong-gun,장성군,46880
46890,Wando-gun,완도군,46890
46900,Jindo-gun,진도군,46900
46910,Sinan-gun,신안군,46910
45111,"Wansan-gu, Jeonju-si",전주시완산구,45111
45113,"Deokjin-gu, Jeonju-si",전주시덕진구,45113
45130,Gunsan-si,군산시,45130
45140,Iksan-si,익산시,45140
45180,Jeongeup-si,정읍시,45180
45190,Namwon-si,남원시,45190
45210,Gimje-si,김제시,45210
45710,Wanju-gun,완주군,45710
45720,Jinan-gun,진안군,45720
45730,Muju-gun,무주군,45730
45740,Jangsu-gun,장수군,45740
45750,Imsil-gun,임실군,45750
45770,Sunchang-gun,순창군,45770
45790,Gochang-gun,고창군,45790
45800,Buan-gun,부안군,45800
50110,Jeju-si,제주시,50110
50130,Seogwipo-si,서귀포시,50130
44131,"Dongnam-gu, Cheonan-si",천안시동남구,44131
44133,"Seobuk-gu, Cheonan-si",천안시서북구,44133
44150,Gongju-si,공주시,44150
44180,Boryeong-si,보령시,44180
44200,Asan-si,아산시,44200
44210,Seosan-si,서산시,44210
44230,Nonsan-si,논산시,44230
44250,Gyeryong-si,계룡시,44250
44270,Dangjin-si,당진시,44270
44710,Geumsan-gun,금산군,44710
44760,Buyeo-gun,부여군,44760
44770,Seocheon-gun,서천군,44770
44790,Cheongyang-gun,청양군,44790
44800,Hongseong-gun,홍성군,44800
44810,Yesan-gun,예산군,44810
44825,Taean-gun,태안군,44825
43111,"Sangdang-gu, Cheongju-si",청주시 상당구,43111
43112,"Seowon-gu, Cheongju-si",청주시 서원구,43112
43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구,43113
43114,"Cheongwon-gu, Cheongju-si",청주시 청원구,43114
43130,Chungju-si,충주시,43130
43150,Jecheon-si,제천시,43150
43720,Boeun-gun,보은군,43720
43730,Okcheon-gun,옥천군,43730
43740,Yeongdong-gun,영동군,43740
43745,Jeungpyeong-gun,증평군,43745
43750,Jincheon-gun,진천군,43750
43760,Goesan-gun,괴산군,43760
43770,Eumseong-gun,음성군,43770
43800,Danyang-gun,단양군,43800
